speaker,sex,split
JXL0,M,train
LEL0,M,train
KLC0,F,train
PAF0,F,train
EEH0,F,train
TRT0,M,train
STF0,M,train
LJC0,M,train
SAK0,F,train
LJH0,M,train
JMM0,M,train
SMS0,M,train
LHD0,F,train
ARW0,M,train
SRG0,M,train
FRM0,M,train
DMA0,M,train
JPM1,M,train
FWK0,M,train
JLB0,M,train
AEB0,M,train
BMA0,M,train
TQC0,M,train
KAM0,M,train
SMC0,M,train
BWP0,M,train
CDR0,M,train
GXP0,M,train
JEE0,M,train
GRP0,M,train
LKM0,F,train
RGM0,M,train
ESG0,M,train
JLS0,M,train
RSP0,M,train
NET0,M,train
JWS0,M,train
JJJ0,M,train
KDW0,F,train
JAC0,M,train
MBS0,M,train
LSH0,M,train
LBC0,M,train
DKN0,F,train
MGC0,M,train
GJC0,M,train
PEB0,M,train
JXP0,F,train
JRH0,M,train
SSB0,F,train
TAS0,M,train
JDC0,M,train
CAG0,F,train
BMJ0,F,train
CSS0,M,train
PRK0,M,train
PRT0,M,train
RFL0,M,train
JWB1,F,train
ALR0,F,train
SFH0,M,train
DCD0,M,train
TRC0,M,train
MDM0,M,train
GAG0,M,train
RAB1,M,train
BAS0,F,train
JSR0,M,train
DBP0,M,train
DLB0,M,train
MJB0,F,train
RLJ0,M,train
JHI0,M,train
KAA0,F,train
DPS0,M,train
MKF0,F,train
TJG0,M,train
HRM0,M,train
DEM0,M,train
MAA0,M,train
JMA0,M,train
JPM0,M,train
SCN0,F,train
LMC0,F,train
RMS0,M,train
TDB0,M,train
RCW0,M,train
MAG0,M,train
LMA0,F,train
RAB0,M,train
MGK0,M,train
JAE0,M,train
DXW0,F,train
ARC0,M,train
DMT0,M,train
RJT0,M,train
HLM0,F,train
RHL0,M,train
EAC0,F,train
DSS0,M,train
AEM0,F,train
SRH0,F,train
DAS1,F,train
KDT0,M,train
CYL0,F,train
JRP0,M,train
PRB0,M,train
CAJ0,F,train
CMM0,F,train
AJW0,F,train
MXS0,M,train
RLL0,F,train
RJM1,M,train
PJF0,F,train
CEW0,M,train
PPC0,M,train
KJO0,M,train
JMD0,M,train
RGS0,M,train
RFK0,M,train
JKL0,F,train
DLC2,M,train
BJV0,M,train
RLR0,M,train
JBG0,M,train
WSB0,M,train
ZMB0,M,train
SAT0,M,train
MDS0,M,train
KAJ0,M,train
TAT1,M,train
CTM0,M,train
DWD0,M,train
KAH0,M,train
RJM0,M,train
RJH0,M,train
MMH0,F,train
TMG0,F,train
JEB0,M,train
TBC0,M,train
SKL0,F,train
EFG0,M,train
JDE0,M,train
DNC0,F,train
GAR0,M,train
DKS0,M,train
JAI0,M,train
BOM0,M,train
PAC0,F,train
CRZ0,F,train
TLC0,M,train
GSL0,M,train
FXS0,M,train
LET0,F,train
KAG0,M,train
DLR1,M,train
RPC1,M,train
BML0,M,train
MKC0,F,train
KDE0,F,train
TWH1,M,train
CLK0,M,train
TMN0,M,train
PFU0,M,train
JSK0,F,train
MAH1,F,train
AFM0,M,train
CRE0,M,train
RMG0,M,train
MWS1,M,train
DED0,M,train
VRW0,M,train
TML0,M,train
JEN0,F,train
JHK0,F,train
KLR0,M,train
AEO0,M,train
NTW0,M,train
JDG0,M,train
FXV0,M,train
JJM0,M,train
RLJ1,M,train
BLV0,F,train
SAH1,M,train
WRE0,M,train
SES0,M,train
ADD0,M,train
REH0,F,train
TKD0,M,train
HBS0,M,train
KDB0,M,train
BAR0,M,train
MDG0,M,train
PAR0,M,train
VKB0,F,train
CTH0,M,train
JRP1,F,train
BBR0,M,train
JRA0,M,train
TAB0,M,train
DLC1,M,train
GAK0,M,train
LEH0,F,train
TER0,M,train
WRP0,M,train
GAW0,M,train
DPB0,M,train
DCM0,M,train
TPR0,M,train
CJS0,F,train
KSR0,F,train
BTH0,M,train
REM0,M,train
DLR0,M,train
PAB1,F,train
RMH0,M,train
SDB0,M,train
JFR0,M,train
HXL0,M,train
DLM0,M,train
SPM0,F,train
PAZ0,F,train
SJW0,F,train
DBB1,M,train
RJB1,M,train
KXL0,M,train
GAF0,M,train
RWA0,M,train
ILB0,M,train
CDC0,M,train
CDD0,M,train
REE0,M,train
SFV0,M,train
JLG1,M,train
JLG0,F,train
TPP0,M,train
MEB0,M,train
TPG0,M,train
LTM0,F,train
SKC0,F,train
JDA0,M,train
DWM0,M,train
REH1,M,train
LJD0,F,train
DLC0,M,train
JRH1,M,train
WGR0,M,train
DNS0,M,train
KLS1,M,train
DHS0,M,train
CKE0,F,train
MAR0,M,train
ALK0,F,train
VJH0,M,train
EME0,F,train
DFB0,F,train
MAM0,M,train
MJB1,M,train
GRW0,F,train
PRD0,M,train
DJH0,F,train
TLB0,M,train
FMC0,M,train
LNS0,M,train
DEF0,M,train
LAC0,F,train
RTC0,M,train
AKB0,M,train
SLS0,F,train
TJM0,M,train
MSM0,M,train
BEF0,M,train
DTB0,M,train
SJS0,F,train
CAL0,M,train
RBC0,M,train
DSS1,M,train
JJB0,M,train
DDC0,M,train
JLR0,F,train
WDK0,M,train
ADC0,M,train
AKR0,M,train
HJB0,M,train
RTJ0,M,train
TKP0,M,train
CEF0,M,train
NTB0,F,train
RDS0,M,train
GCS0,F,train
DLH0,M,train
DJM0,M,train
MJF0,F,train
CMG0,F,train
APV0,M,train
JKR0,M,train
HMR0,M,train
KES0,M,train
SDS0,M,train
BCH0,F,train
RMB0,M,train
SDJ0,F,train
TXS0,M,train
SAT1,M,train
SMR0,M,train
APB0,F,train
SGF0,F,train
SBK0,F,train
KLC1,F,train
MDB0,M,train
RXB0,M,train
CAE0,M,train
EAL0,M,train
KLN0,M,train
AJP0,M,train
MJU0,F,train
PAD0,F,train
HXS0,F,train
ABC0,M,train
JDM2,F,train
SVS0,M,train
ESJ0,M,train
BMA1,M,train
EJL0,M,train
JRK0,M,train
RJB0,F,train
SJK0,M,train
PGR1,M,train
LAG0,F,train
DRD0,M,train
TJU0,M,train
TAJ0,F,train
BGT0,M,train
RLD0,M,train
JRG0,M,train
JFH0,M,train
DWH0,M,train
REW1,M,train
FER0,M,train
WSH0,M,train
BMH0,F,train
GSH0,M,train
DTD0,F,train
RAM0,M,train
MDM1,M,train
SDC0,F,train
CLM0,M,train
TLG0,F,train
GES0,M,train
SMM0,F,train
CHL0,M,train
SDH0,M,train
TDP0,M,train
JWG0,M,train
SAG0,F,train
JXM0,F,train
TBW0,F,train
TAT0,M,train
RKM0,M,train
MWB0,M,train
TMT0,M,train
SRR0,M,train
EGJ0,M,train
SAS0,M,train
MPG0,F,train
DSJ0,M,train
EAR0,F,train
VLO0,M,train
HMG0,M,train
WAC0,M,train
LJG0,F,train
SJG0,F,train
GMB0,F,train
KKH0,F,train
CDR1,F,train
LOD0,F,train
JXA0,M,train
HIT0,M,train
RVG0,M,train
JDM0,M,train
LMK0,F,train
MCC0,M,train
GDP0,F,train
EXM0,F,train
DHL0,M,train
LJA0,F,train
RML0,M,train
DAS0,M,train
PMB0,M,train
JPG0,M,train
MVP0,M,train
BJL0,F,train
EWM0,M,train
PMY0,F,train
WEM0,M,train
DMY0,F,train
RAV0,M,train
SKP0,F,train
MAB1,M,train
SEM1,M,train
SMS1,F,train
WCH0,M,train
BCG1,F,train
KDD0,M,train
RDM0,M,train
KLH0,F,train
NKL0,F,train
BSB0,M,train
CLT0,F,train
RRE0,M,train
CXM0,M,train
PLS0,F,train
MBG0,F,train
MWS0,M,train
EJS0,M,train
MLM0,M,train
MPM0,M,train
MEA0,M,train
KRG0,M,train
BCG0,M,train
CEG0,F,train
JRB0,F,train
TCS0,M,train
RLK0,M,train
RWS0,M,train
TPF0,M,train
RDD0,M,train
KLS0,M,train
EDR0,M,train
SMA0,F,train
RCG0,M,train
DAW0,F,train
PGH0,M,train
WAR0,M,train
RSO0,M,train
GRL0,M,train
SAH0,F,train
DAC0,M,train
MGG0,M,train
JSP0,F,train
TBR0,F,train
VFB0,F,train
KFB0,F,train
JWT0,M,train
VMH0,F,train
DPK0,M,train
TRR0,M,train
MRP0,M,train
KLW0,M,train
WAD0,M,train
CJF0,F,train
CPM0,M,train
PGR0,M,train
PSW0,M,train
MEM0,F,train
TJS0,M,train
ECD0,F,train
JEB1,M,train
SJK1,F,train
DML0,F,train
RAI0,M,train
ETB0,F,train
LBW0,F,test
ROA0,M,test
DLS0,M,test
ADG0,F,test
RNG0,F,test
CFT0,F,test
PCS0,M,test
JMG0,F,test
DMS0,F,test
MCM0,F,test
JRF0,M,test
