dataset,model,layer,method,value,speaker
timit,hubert-large-en,0,km_2_mi,0.01120319185856908,True
timit,hubert-large-en,0,km_4_mi,0.030799363570477814,True
timit,hubert-large-en,0,km_8_mi,0.21124241397831445,True
timit,hubert-large-en,0,km_16_mi,0.37456405955061756,True
timit,hubert-large-en,0,km_32_mi,0.5542073441622126,True
timit,hubert-large-en,0,km_64_mi,0.8336200785300862,True
timit,hubert-large-en,0,km_128_mi,1.2095357451096345,True
timit,hubert-large-en,0,km_256_mi,1.690842731011696,True
timit,hubert-large-en,0,km_512_mi,2.243793365166384,True
timit,hubert-large-en,0,km_1024_mi,2.8422815911238937,True
timit,hubert-large-en,0,entropy,6.438161419540647,True
timit,hubert-large-en,0,clf_mi,5.401039909684562,True
timit,hubert-large-en,0,km_2_mi,0.36572529752627586,False
timit,hubert-large-en,0,km_4_mi,0.7639465287188849,False
timit,hubert-large-en,0,km_8_mi,1.0683584598366624,False
timit,hubert-large-en,0,km_16_mi,1.2480067972898845,False
timit,hubert-large-en,0,km_32_mi,1.4212944351265886,False
timit,hubert-large-en,0,km_64_mi,1.613715221989298,False
timit,hubert-large-en,0,km_128_mi,1.8074590656570995,False
timit,hubert-large-en,0,km_256_mi,1.969414160610502,False
timit,hubert-large-en,0,km_512_mi,2.135617439773459,False
timit,hubert-large-en,0,km_1024_mi,2.2581918465945594,False
timit,hubert-large-en,0,entropy,3.3947674978523117,False
timit,hubert-large-en,0,clf_mi,2.6843595147285835,False
timit,hubert-large-en,1,km_2_mi,0.010375712634918466,True
timit,hubert-large-en,1,km_4_mi,0.031990332310863255,True
timit,hubert-large-en,1,km_8_mi,0.18217796219836005,True
timit,hubert-large-en,1,km_16_mi,0.2837735390940292,True
timit,hubert-large-en,1,km_32_mi,0.5043314439500364,True
timit,hubert-large-en,1,km_64_mi,0.7661932449519256,True
timit,hubert-large-en,1,km_128_mi,1.1783353778023173,True
timit,hubert-large-en,1,km_256_mi,1.6603141652242845,True
timit,hubert-large-en,1,km_512_mi,2.226469418104591,True
timit,hubert-large-en,1,km_1024_mi,2.8175687039064448,True
timit,hubert-large-en,1,entropy,6.438161419540647,True
timit,hubert-large-en,1,clf_mi,6.430124241429952,True
timit,hubert-large-en,1,km_2_mi,0.3672125264387032,False
timit,hubert-large-en,1,km_4_mi,0.7661419200543927,False
timit,hubert-large-en,1,km_8_mi,1.0641116123547583,False
timit,hubert-large-en,1,km_16_mi,1.2253558536571134,False
timit,hubert-large-en,1,km_32_mi,1.3907256460124175,False
timit,hubert-large-en,1,km_64_mi,1.6123612240528753,False
timit,hubert-large-en,1,km_128_mi,1.8028787290053339,False
timit,hubert-large-en,1,km_256_mi,1.9724291755058274,False
timit,hubert-large-en,1,km_512_mi,2.147108577534006,False
timit,hubert-large-en,1,km_1024_mi,2.2857410364040294,False
timit,hubert-large-en,1,entropy,3.3947674978523117,False
timit,hubert-large-en,1,clf_mi,2.7998092339707616,False
timit,hubert-large-en,2,km_2_mi,0.0102097533225549,True
timit,hubert-large-en,2,km_4_mi,0.03420266526227,True
timit,hubert-large-en,2,km_8_mi,0.08614055113864934,True
timit,hubert-large-en,2,km_16_mi,0.19812701579425188,True
timit,hubert-large-en,2,km_32_mi,0.3680669733448229,True
timit,hubert-large-en,2,km_64_mi,0.6746793061727108,True
timit,hubert-large-en,2,km_128_mi,1.1159912380968953,True
timit,hubert-large-en,2,km_256_mi,1.645191666760507,True
timit,hubert-large-en,2,km_512_mi,2.209457340615364,True
timit,hubert-large-en,2,km_1024_mi,2.8166802534077466,True
timit,hubert-large-en,2,entropy,6.438161419540647,True
timit,hubert-large-en,2,clf_mi,6.437985899544933,True
timit,hubert-large-en,2,km_2_mi,0.3613876204187642,False
timit,hubert-large-en,2,km_4_mi,0.7900673425640666,False
timit,hubert-large-en,2,km_8_mi,1.1266525872327025,False
timit,hubert-large-en,2,km_16_mi,1.3297986755886235,False
timit,hubert-large-en,2,km_32_mi,1.5477736475448856,False
timit,hubert-large-en,2,km_64_mi,1.7421895878835758,False
timit,hubert-large-en,2,km_128_mi,1.951643523323621,False
timit,hubert-large-en,2,km_256_mi,2.1121688149296,False
timit,hubert-large-en,2,km_512_mi,2.2632533417069163,False
timit,hubert-large-en,2,km_1024_mi,2.395899529957318,False
timit,hubert-large-en,2,entropy,3.3947674978523117,False
timit,hubert-large-en,2,clf_mi,2.8690744867834344,False
timit,hubert-large-en,3,km_2_mi,0.011440900219066876,True
timit,hubert-large-en,3,km_4_mi,0.033232084170070016,True
timit,hubert-large-en,3,km_8_mi,0.07766952743082106,True
timit,hubert-large-en,3,km_16_mi,0.18451054009332163,True
timit,hubert-large-en,3,km_32_mi,0.35567916004548794,True
timit,hubert-large-en,3,km_64_mi,0.6597596723300513,True
timit,hubert-large-en,3,km_128_mi,1.0956379681323598,True
timit,hubert-large-en,3,km_256_mi,1.621613821953184,True
timit,hubert-large-en,3,km_512_mi,2.2024654585926595,True
timit,hubert-large-en,3,km_1024_mi,2.820965949445399,True
timit,hubert-large-en,3,entropy,6.438161419540647,True
timit,hubert-large-en,3,clf_mi,6.438152375595706,True
timit,hubert-large-en,3,km_2_mi,0.34938689289593766,False
timit,hubert-large-en,3,km_4_mi,0.8013625645615188,False
timit,hubert-large-en,3,km_8_mi,1.2671766570285,False
timit,hubert-large-en,3,km_16_mi,1.4063976157417037,False
timit,hubert-large-en,3,km_32_mi,1.6403307229065636,False
timit,hubert-large-en,3,km_64_mi,1.8640872879929253,False
timit,hubert-large-en,3,km_128_mi,2.058557508855836,False
timit,hubert-large-en,3,km_256_mi,2.2377225465804718,False
timit,hubert-large-en,3,km_512_mi,2.3644912107160514,False
timit,hubert-large-en,3,km_1024_mi,2.4851906676846305,False
timit,hubert-large-en,3,entropy,3.3947674978523117,False
timit,hubert-large-en,3,clf_mi,2.9076554320158206,False
timit,hubert-large-en,4,km_2_mi,0.011394917465767294,True
timit,hubert-large-en,4,km_4_mi,0.03192128676765722,True
timit,hubert-large-en,4,km_8_mi,0.07373500529326939,True
timit,hubert-large-en,4,km_16_mi,0.16899874290525158,True
timit,hubert-large-en,4,km_32_mi,0.3278454702540396,True
timit,hubert-large-en,4,km_64_mi,0.6188302898098255,True
timit,hubert-large-en,4,km_128_mi,1.0442038396040643,True
timit,hubert-large-en,4,km_256_mi,1.5769828283665603,True
timit,hubert-large-en,4,km_512_mi,2.180004685995623,True
timit,hubert-large-en,4,km_1024_mi,2.7909376039468237,True
timit,hubert-large-en,4,entropy,6.438161419540647,True
timit,hubert-large-en,4,clf_mi,6.437737946797794,True
timit,hubert-large-en,4,km_2_mi,0.34514533460102803,False
timit,hubert-large-en,4,km_4_mi,0.8076354975744087,False
timit,hubert-large-en,4,km_8_mi,1.2663076815650862,False
timit,hubert-large-en,4,km_16_mi,1.490248411290738,False
timit,hubert-large-en,4,km_32_mi,1.6565964530045914,False
timit,hubert-large-en,4,km_64_mi,1.8829589454493725,False
timit,hubert-large-en,4,km_128_mi,2.123173535367082,False
timit,hubert-large-en,4,km_256_mi,2.3088093989647325,False
timit,hubert-large-en,4,km_512_mi,2.445156544548934,False
timit,hubert-large-en,4,km_1024_mi,2.5625957832166804,False
timit,hubert-large-en,4,entropy,3.3947674978523117,False
timit,hubert-large-en,4,clf_mi,2.964204635791239,False
timit,hubert-large-en,5,km_2_mi,0.012154678678013665,True
timit,hubert-large-en,5,km_4_mi,0.0319091525215662,True
timit,hubert-large-en,5,km_8_mi,0.0743802074944773,True
timit,hubert-large-en,5,km_16_mi,0.16579857027208275,True
timit,hubert-large-en,5,km_32_mi,0.32449801855802146,True
timit,hubert-large-en,5,km_64_mi,0.6018757914052809,True
timit,hubert-large-en,5,km_128_mi,1.0332723100333667,True
timit,hubert-large-en,5,km_256_mi,1.561162410587745,True
timit,hubert-large-en,5,km_512_mi,2.143607890166623,True
timit,hubert-large-en,5,km_1024_mi,2.7723084348107605,True
timit,hubert-large-en,5,entropy,6.438161419540647,True
timit,hubert-large-en,5,clf_mi,6.437091335197412,True
timit,hubert-large-en,5,km_2_mi,0.3308935933336425,False
timit,hubert-large-en,5,km_4_mi,0.7742645392692667,False
timit,hubert-large-en,5,km_8_mi,1.3294718450797562,False
timit,hubert-large-en,5,km_16_mi,1.5834460513186377,False
timit,hubert-large-en,5,km_32_mi,1.8463123268492971,False
timit,hubert-large-en,5,km_64_mi,2.0922115857064343,False
timit,hubert-large-en,5,km_128_mi,2.293843986693472,False
timit,hubert-large-en,5,km_256_mi,2.462985430407718,False
timit,hubert-large-en,5,km_512_mi,2.5841087388133963,False
timit,hubert-large-en,5,km_1024_mi,2.6759136336170184,False
timit,hubert-large-en,5,entropy,3.3947674978523117,False
timit,hubert-large-en,5,clf_mi,2.9985495519518945,False
timit,hubert-large-en,6,km_2_mi,0.012797288814028442,True
timit,hubert-large-en,6,km_4_mi,0.03530516870664564,True
timit,hubert-large-en,6,km_8_mi,0.08756194629022364,True
timit,hubert-large-en,6,km_16_mi,0.15907891186669362,True
timit,hubert-large-en,6,km_32_mi,0.31946712503124775,True
timit,hubert-large-en,6,km_64_mi,0.6122421721381643,True
timit,hubert-large-en,6,km_128_mi,1.0242624148472876,True
timit,hubert-large-en,6,km_256_mi,1.5583926523240004,True
timit,hubert-large-en,6,km_512_mi,2.136336677748227,True
timit,hubert-large-en,6,km_1024_mi,2.7525661881466257,True
timit,hubert-large-en,6,entropy,6.438161419540647,True
timit,hubert-large-en,6,clf_mi,6.436396001625845,True
timit,hubert-large-en,6,km_2_mi,0.3233596313279473,False
timit,hubert-large-en,6,km_4_mi,0.7587538241501377,False
timit,hubert-large-en,6,km_8_mi,1.3178996627482742,False
